trial,timestamp,problem,answer,correct,reward,overall,recent_20,recent_100,recent_500,successes,attempts,active_synapses,mean_delta_w
1,1789299772.573787,2 + 1,3,1,1.0,1.0,1.0,1.0,1.0,1,1,121,0.0
2,1789299772.6786957,2 + 1,3,1,1.0,1.0,1.0,1.0,1.0,2,2,122,0.0026
3,1789299772.7874272,2 + 1,3,1,1.0,1.0,1.0,1.0,1.0,3,3,123,0.0051
4,1789299772.8959308,2 + 1,3,1,1.0,1.0,1.0,1.0,1.0,4,4,124,0.0077
5,1789299773.0034893,2 + 1,2,0,-1.0,0.8,0.8,0.8,0.8,4,5,125,0.0102
6,1789299773.1135185,2 + 1,3,1,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,6,126,0.0126
7,1789299773.220518,2 + 1,3,1,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,7,127,0.0149
8,1789299773.328789,2 + 1,3,1,1.0,0.875,0.875,0.875,0.875,7,8,128,0.0171
9,1789299773.438481,2 + 1,3,1,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,8,9,129,0.0192
10,1789299773.5464885,2 + 1,2,0,-1.0,0.8,0.8,0.8,0.8,8,10,130,0.0211
11,1789299773.656795,2 + 1,3,1,1.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,9,11,131,0.0229
12,1789299773.7647336,2 + 1,3,1,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,12,132,0.0245
13,1789299773.8735898,2 + 1,3,1,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,11,13,133,0.0259
14,1789299773.983752,2 + 1,3,1,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,12,14,134,0.0271
15,1789299774.0937874,2 + 1,2,0,-1.0,0.8,0.8,0.8,0.8,12,15,135,0.0281
16,1789299774.2005692,2 + 1,3,1,1.0,0.8125,0.8125,0.8125,0.8125,13,16,136,0.0289
17,1789299774.3090565,2 + 1,3,1,1.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,14,17,137,0.0295
18,1789299774.4176579,2 + 1,3,1,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,15,18,138,0.0299
19,1789299774.5274045,2 + 1,3,1,1.0,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,16,19,139,0.03
20,1789299774.6357076,2 + 1,2,0,-1.0,0.8,0.8,0.8,0.8,16,20,140,0.0299
21,1789299774.7446516,2 + 1,3,1,1.0,0.8095238095238095,0.8,0.8095238095238095,0.8095238095238095,17,21,141,0.0296
22,1789299774.852282,2 + 1,3,1,1.0,0.8181818181818182,0.8,0.8181818181818182,0.8181818181818182,18,22,142,0.029
23,1789299774.9615052,2 + 1,3,1,1.0,0.8260869565217391,0.8,0.8260869565217391,0.8260869565217391,19,23,143,0.0283
24,1789299775.0715735,2 + 1,3,1,1.0,0.8333333333333334,0.8,0.8333333333333334,0.8333333333333334,20,24,144,0.0273
25,1789299775.1797278,2 + 1,2,0,-1.0,0.8,0.8,0.8,0.8,20,25,145,0.0261
26,1789299775.2888696,2 + 1,3,1,1.0,0.8076923076923077,0.8,0.8076923076923077,0.8076923076923077,21,26,146,0.0247
27,1789299775.3980124,2 + 1,3,1,1.0,0.8148148148148148,0.8,0.8148148148148148,0.8148148148148148,22,27,147,0.0231
28,1789299775.5052254,2 + 1,3,1,1.0,0.8214285714285714,0.8,0.8214285714285714,0.8214285714285714,23,28,148,0.0214
29,1789299775.6147547,2 + 1,3,1,1.0,0.8275862068965517,0.8,0.8275862068965517,0.8275862068965517,24,29,149,0.0195
30,1789299775.722815,2 + 1,2,0,-1.0,0.8,0.8,0.8,0.8,24,30,150,0.0175
31,1789299775.833206,2 + 1,3,1,1.0,0.8064516129032258,0.8,0.8064516129032258,0.8064516129032258,25,31,120,0.0152
32,1789299775.9417968,2 + 1,3,1,1.0,0.8125,0.8,0.8125,0.8125,26,32,121,0.0129
33,1789299776.0507333,2 + 1,3,1,1.0,0.8181818181818182,0.8,0.8181818181818182,0.8181818181818182,27,33,122,0.0105
34,1789299776.16056,2 + 1,3,1,1.0,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,28,34,123,0.008
35,1789299776.268545,2 + 1,2,0,-1.0,0.8,0.8,0.8,0.8,28,35,124,0.0055
36,1789299776.377889,2 + 1,3,1,1.0,0.8055555555555556,0.8,0.8055555555555556,0.8055555555555556,29,36,125,0.0029
37,1789299776.487624,2 + 1,3,1,1.0,0.8108108108108109,0.8,0.8108108108108109,0.8108108108108109,30,37,126,0.0003
38,1789299776.5983143,2 + 1,3,1,1.0,0.8157894736842105,0.8,0.8157894736842105,0.8157894736842105,31,38,127,-0.0024
39,1789299776.7081058,2 + 1,3,1,1.0,0.8205128205128205,0.8,0.8205128205128205,0.8205128205128205,32,39,128,-0.005
40,1789299776.816806,2 + 1,2,0,-1.0,0.8,0.8,0.8,0.8,32,40,129,-0.0075
41,1789299776.924714,2 + 1,3,1,1.0,0.8048780487804879,0.8,0.8048780487804879,0.8048780487804879,33,41,130,-0.01
