trial,timestamp,phase,target,answer,correct,reward,p0,p1,p2,policy_entropy,overall,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,active_synapses,mean_delta_w
1,1789300859.9485502,dots_0_2,1,0,0,-1.0,0.33399,0.33468,0.33134,1.0986,0.0,0.0,0.0,0.0,0,1,,0.0,,198,0.011123
2,1789300859.9494243,dots_0_2,0,0,1,1.0,0.32759,0.33633,0.33608,1.09854,0.5,0.5,0.5,0.5,1,2,1.0,0.0,,198,0.001103
3,1789300859.9499648,dots_0_2,1,1,1,1.0,0.31624,0.34405,0.33972,1.09794,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,3,1.0,0.5,,198,0.012749
4,1789300859.9505103,dots_0_2,2,2,1,1.0,0.26524,0.44712,0.28764,1.07032,0.75,0.75,0.75,0.75,3,4,1.0,0.5,1.0,198,0.019819
5,1789300859.951171,dots_0_2,2,0,0,-1.0,0.25325,0.33027,0.41647,1.0785,0.6,0.6,0.6,0.6,3,5,1.0,0.5,0.5,198,0.024352
6,1789300860.0655048,dots_0_2,2,2,1,1.0,0.19715,0.36946,0.43339,1.05037,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,6,1.0,0.5,0.6666666666666666,198,0.017197
7,1789300860.0664473,dots_0_2,1,1,1,1.0,0.23912,0.33248,0.4284,1.0714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,7,1.0,0.6666666666666666,0.6666666666666666,198,0.01155
8,1789300860.0672476,dots_0_2,2,2,1,1.0,0.15729,0.3659,0.47681,1.01195,0.75,0.75,0.75,0.75,6,8,1.0,0.6666666666666666,0.75,198,0.016506
9,1789300860.0678525,dots_0_2,0,1,0,-1.0,0.30071,0.33729,0.362,1.09574,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,9,0.5,0.6666666666666666,0.75,198,0.001397
10,1789300860.0683792,dots_0_2,2,2,1,1.0,0.16778,0.30503,0.52719,0.99919,0.7,0.7,0.7,0.7,7,10,0.5,0.6666666666666666,0.8,198,0.014795
11,1789300860.1761134,dots_0_2,1,1,1,1.0,0.21601,0.30434,0.47965,1.04546,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,8,11,0.5,0.75,0.8,198,0.011567
12,1789300860.1774547,dots_0_2,2,1,0,-1.0,0.10012,0.22651,0.67337,0.83307,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,8,12,0.5,0.75,0.6666666666666666,198,0.027122
13,1789300860.1783507,dots_0_2,0,2,0,-1.0,0.30106,0.32445,0.37449,1.09444,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,8,13,0.3333333333333333,0.75,0.6666666666666666,198,0.00128
14,1789300860.17899,dots_0_2,0,2,0,-1.0,0.3049,0.32612,0.36897,1.09544,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,8,14,0.25,0.75,0.6666666666666666,198,0.001267
15,1789300860.179501,dots_0_2,0,0,1,1.0,0.31186,0.32973,0.35841,1.09697,0.6,0.6,0.6,0.6,9,15,0.4,0.75,0.6666666666666666,195,0.00113
16,1789300860.2884846,dots_0_2,2,2,1,1.0,0.15145,0.21275,0.6358,0.90306,0.625,0.625,0.625,0.625,10,16,0.4,0.75,0.7142857142857143,198,0.010415
17,1789300860.2895389,dots_0_2,2,2,1,1.0,0.13546,0.19506,0.66948,0.85824,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,11,17,0.4,0.75,0.75,198,0.009926
18,1789300860.2904255,dots_0_2,2,2,1,1.0,0.09863,0.14347,0.75791,0.71711,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,12,18,0.4,0.75,0.7777777777777778,198,0.007245
19,1789300860.2911994,dots_0_2,2,2,1,1.0,0.13866,0.1936,0.66773,0.86152,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,13,19,0.4,0.75,0.8,198,0.009078
20,1789300860.292421,dots_0_2,1,1,1,1.0,0.20564,0.22853,0.56583,0.98479,0.7,0.7,0.7,0.7,14,20,0.4,0.8,0.8,198,0.01526
21,1789300860.3970482,dots_0_2,2,1,0,-1.0,0.08675,0.11298,0.80028,0.63673,0.6666666666666666,0.7,0.6666666666666666,0.6666666666666666,14,21,0.4,0.8,0.7272727272727273,195,0.027293
22,1789300860.397864,dots_0_2,0,2,0,-1.0,0.3078,0.31365,0.37854,1.09408,0.6363636363636364,0.65,0.6363636363636364,0.6363636363636364,14,22,0.3333333333333333,0.8,0.7272727272727273,195,0.001051
23,1789300860.3984609,dots_0_2,2,2,1,1.0,0.10204,0.13113,0.76683,0.70288,0.6521739130434783,0.65,0.6521739130434783,0.6521739130434783,15,23,0.3333333333333333,0.8,0.75,192,0.007239
24,1789300860.399069,dots_0_2,2,0,0,-1.0,0.09822,0.1204,0.78138,0.67557,0.625,0.6,0.625,0.625,15,24,0.3333333333333333,0.8,0.6923076923076923,195,0.024878
25,1789300860.3996542,dots_0_2,0,0,1,1.0,0.29079,0.30452,0.40469,1.08735,0.64,0.65,0.64,0.64,16,25,0.42857142857142855,0.8,0.6923076923076923,198,0.001473
26,1789300860.5053396,dots_0_2,0,2,0,-1.0,0.29486,0.30788,0.39725,1.08953,0.6153846153846154,0.6,0.6153846153846154,0.6153846153846154,16,26,0.375,0.8,0.6923076923076923,198,0.001306
27,1789300860.5061548,dots_0_2,0,2,0,-1.0,0.29849,0.31159,0.38993,1.09144,0.5925925925925926,0.55,0.5925925925925926,0.5925925925925926,16,27,0.3333333333333333,0.8,0.6923076923076923,198,0.001131
28,1789300860.5067854,dots_0_2,2,2,1,1.0,0.0331,0.0294,0.9375,0.277,0.6071428571428571,0.55,0.6071428571428571,0.6071428571428571,17,28,0.3333333333333333,0.8,0.7142857142857143,198,0.002079
29,1789300860.5074463,dots_0_2,1,2,0,-1.0,0.15021,0.22767,0.62212,0.91695,0.5862068965517241,0.55,0.5862068965517241,0.5862068965517241,17,29,0.3333333333333333,0.6666666666666666,0.7142857142857143,195,0.00663
30,1789300860.508034,dots_0_2,1,1,1,1.0,0.18675,0.22249,0.59076,0.95868,0.6,0.55,0.6,0.6,18,30,0.3333333333333333,0.7142857142857143,0.7142857142857143,195,0.015389
31,1789300860.6146436,dots_0_2,2,2,1,1.0,0.08093,0.13562,0.78345,0.66563,0.6129032258064516,0.55,0.6129032258064516,0.6129032258064516,19,31,0.3333333333333333,0.7142857142857143,0.7333333333333333,198,0.006247
32,1789300860.6155758,dots_0_2,0,1,0,-1.0,0.30103,0.32291,0.37607,1.0942,0.59375,0.55,0.59375,0.59375,19,32,0.3,0.7142857142857143,0.7333333333333333,198,0.001288
33,1789300860.6162753,dots_0_2,2,2,1,1.0,0.0751,0.11382,0.81107,0.61162,0.6060606060606061,0.6,0.6060606060606061,0.6060606060606061,20,33,0.3,0.7142857142857143,0.75,198,0.005602
34,1789300860.6169107,dots_0_2,2,2,1,1.0,0.04693,0.10119,0.85188,0.51194,0.6176470588235294,0.65,0.6176470588235294,0.6176470588235294,21,34,0.3,0.7142857142857143,0.7647058823529411,198,0.004512
