trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,signal_energy,area_factor,post_noise_energy,overall,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
1,1789302048.0977857,dots_0_2_stage2,train,1,1,2,0,-1.0,0.33586,0.33482,0.32933,1.09858,1.88928,1.44,2.3366,0.0,0.0,0.0,0.0,0,1,,0.0,,,,,,0,0,,,,198,0.009474
2,1789302048.0988019,dots_0_2_stage2,train,1,0,1,0,-1.0,0.34676,0.34589,0.30735,1.09707,0.0,0.0,0.43985,0.0,0.0,0.0,0.0,0,2,0.0,0.0,,,,,,0,0,,,,198,0.001333
3,1789302048.099544,dots_0_2_stage2,train,1,0,2,0,-1.0,0.35598,0.33584,0.30818,1.09688,0.0,0.0,0.58914,0.0,0.0,0.0,0.0,0,3,0.0,0.0,,,,,,0,0,,,,195,0.001714
4,1789302048.1000984,dots_0_2_stage2,train,1,2,1,0,-1.0,0.40513,0.35743,0.23744,1.07518,1.98254,1.44,2.50606,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,,,,,0,0,,,,198,0.010283
5,1789302048.1006544,dots_0_2_stage2,train,1,0,1,0,-1.0,0.39084,0.3098,0.29936,1.09127,0.0,0.0,0.72653,0.0,0.0,0.0,0.0,0,5,0.0,0.0,0.0,,,,,0,0,,,,198,0.002021
6,1789302048.1011996,dots_0_2_stage2,train,1,2,2,1,1.0,0.49124,0.24689,0.26187,1.04542,1.89321,1.44,2.50396,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,6,0.0,0.0,0.5,,,,,0,0,,,,198,0.012968
7,1789302048.1017783,dots_0_2_stage2,train,1,1,0,0,-1.0,0.42068,0.22171,0.35761,1.06598,2.11634,1.44,2.71079,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1,7,0.0,0.0,0.5,,,,,0,0,,,,198,0.009359
8,1789302048.102303,dots_0_2_stage2,train,1,0,0,1,1.0,0.33836,0.29828,0.36336,1.09535,0.0,0.0,0.56643,0.25,0.25,0.25,0.25,2,8,0.25,0.0,0.5,,,,,0,0,,,,198,0.001605
9,1789302048.1028104,dots_0_2_stage2,train,1,2,1,0,-1.0,0.37065,0.23384,0.39551,1.07453,1.90954,1.44,2.49567,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,2,9,0.25,0.0,0.3333333333333333,,,,,0,0,,,,195,0.012478
10,1789302048.1033309,dots_0_2_stage2,probe,0,0,2,0,-1.0,0.36823,0.26,0.37177,1.08598,0.0,0.0,0.59862,0.2,0.2,0.2,0.2,2,10,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0.0,,,0,0.0
