trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,signal_energy,area_factor,post_noise_energy,overall,balanced_accuracy,one_vs_two_accuracy,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_balanced_accuracy,probe_one_vs_two_accuracy,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
1,1789302839.140372,dots_0_2_stage2_1,train,1,1,2,0,-1.0,0.33396,0.33494,0.33111,1.0986,1.88928,1.44,2.3366,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,0.0,,,,,,,,0,0,,,,192,0.007468
2,1789302839.1414442,dots_0_2_stage2_1,train,1,0,1,0,-1.0,0.334,0.33387,0.33213,1.09861,0.0,0.0,0.43985,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,,,,,,,,0,0,,,,192,0.00049
3,1789302839.142358,dots_0_2_stage2_1,train,1,0,2,0,-1.0,0.33449,0.3331,0.33241,1.09861,0.0,0.0,0.58914,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,,,,,,,,0,0,,,,192,0.000579
4,1789302839.1432824,dots_0_2_stage2_1,train,1,2,1,0,-1.0,0.33559,0.33824,0.32617,1.09849,1.98254,1.44,2.50606,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,,,,,,,0,0,,,,192,0.007574
5,1789302839.1441367,dots_0_2_stage2_1,train,1,0,1,0,-1.0,0.33593,0.33249,0.33158,1.0986,0.0,0.0,0.72653,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0.0,0.0,,,,,,,0,0,,,,192,0.000717
6,1789302839.1447747,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.34883,0.31916,0.33202,1.09795,1.89321,1.44,2.50396,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,6,0.0,0.0,0.5,,,,,,,0,0,,,,192,0.008001
7,1789302839.1454353,dots_0_2_stage2_1,train,1,1,0,0,-1.0,0.35146,0.33033,0.31821,1.09777,2.11634,1.44,2.71079,0.14285714285714285,0.16666666666666666,0.25,0.14285714285714285,0.14285714285714285,0.14285714285714285,1,7,0.0,0.0,0.5,,,,,,,0,0,,,,192,0.008089
8,1789302839.1460538,dots_0_2_stage2_1,train,1,0,0,1,1.0,0.3337,0.33156,0.33474,1.0986,0.0,0.0,0.56643,0.25,0.25,0.25,0.25,0.25,0.25,2,8,0.25,0.0,0.5,,,,,,,0,0,,,,192,0.000608
9,1789302839.146647,dots_0_2_stage2_1,train,1,2,1,0,-1.0,0.33003,0.32816,0.34181,1.09845,1.90954,1.44,2.49567,0.2222222222222222,0.19444444444444442,0.2,0.2222222222222222,0.2222222222222222,0.2222222222222222,2,9,0.25,0.0,0.3333333333333333,,,,,,,0,0,,,,192,0.008102
10,1789302839.147257,dots_0_2_stage2_1,probe,0,0,2,0,-1.0,0.33559,0.33032,0.33409,1.09859,0.0,0.0,0.59862,0.2,0.17777777777777778,0.2,0.2,0.2,0.2,2,10,0.2,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,0,1,0.0,,,0,0.0
11,1789302839.1478195,dots_0_2_stage2_1,train,1,0,1,0,-1.0,0.33495,0.32966,0.33539,1.09858,0.0,0.0,0.63371,0.18181818181818182,0.16666666666666666,0.2,0.18181818181818182,0.18181818181818182,0.18181818181818182,2,11,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,0,1,0.0,,,192,0.000675
12,1789302839.148574,dots_0_2_stage2_1,train,1,1,0,0,-1.0,0.33598,0.32163,0.34239,1.09827,1.96803,1.44,2.57043,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,12,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,0,1,0.0,,,192,0.007667
13,1789302839.4012754,dots_0_2_stage2_1,train,1,0,0,1,1.0,0.33433,0.32937,0.3363,1.09857,0.0,0.0,0.57904,0.23076923076923078,0.20634920634920637,0.16666666666666666,0.23076923076923078,0.23076923076923078,0.23076923076923078,3,13,0.2857142857142857,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,0,1,0.0,,,192,0.000598
14,1789302839.402247,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.31352,0.31934,0.36714,1.09605,2.04014,1.44,2.59686,0.2857142857142857,0.2619047619047619,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,4,14,0.2857142857142857,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0,1,0.0,,,192,0.008241
15,1789302839.4031167,dots_0_2_stage2_1,train,1,1,1,1,1.0,0.32588,0.31422,0.35989,1.09694,2.08236,1.44,2.51688,0.3333333333333333,0.3452380952380952,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,15,0.2857142857142857,0.25,0.5,0.0,0.0,,0.0,0.0,0.0,0,1,0.0,,,192,0.008544
16,1789302839.4040504,dots_0_2_stage2_1,train,1,2,1,0,-1.0,0.29177,0.32846,0.37977,1.09278,1.95888,1.44,2.43409,0.3125,0.3119047619047619,0.3333333333333333,0.3125,0.3125,0.3125,5,16,0.2857142857142857,0.25,0.4,0.0,0.0,,0.0,0.0,0.0,0,1,0.0,,,192,0.008194
17,1789302839.404847,dots_0_2_stage2_1,train,1,1,0,0,-1.0,0.32602,0.31699,0.35699,1.0973,2.11131,1.44,2.67917,0.29411764705882354,0.29523809523809524,0.3,0.29411764705882354,0.29411764705882354,0.29411764705882354,5,17,0.2857142857142857,0.2,0.4,0.0,0.0,,0.0,0.0,0.0,0,1,0.0,,,192,0.008199
18,1789302839.4055345,dots_0_2_stage2_1,train,1,1,0,0,-1.0,0.31271,0.32337,0.36392,1.09645,1.90182,1.44,2.53684,0.2777777777777778,0.2841269841269841,0.2727272727272727,0.2777777777777778,0.2777777777777778,0.2777777777777778,5,18,0.2857142857142857,0.16666666666666666,0.4,0.0,0.0,,0.0,0.0,0.0,0,1,0.0,,,192,0.008016
19,1789302839.4062135,dots_0_2_stage2_1,train,1,2,1,0,-1.0,0.29315,0.33572,0.37113,1.09401,2.10784,1.44,2.63903,0.2631578947368421,0.2619047619047619,0.25,0.2631578947368421,0.2631578947368421,0.2631578947368421,5,19,0.2857142857142857,0.16666666666666666,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,0,1,0.0,,,192,0.008563
20,1789302839.4068472,dots_0_2_stage2_1,probe,0,0,1,0,-1.0,0.33127,0.32911,0.33962,1.09852,0.0,0.0,0.62171,0.25,0.25,0.25,0.25,0.25,0.25,5,20,0.25,0.16666666666666666,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,0,2,0.0,,,0,0.0
21,1789302839.4074702,dots_0_2_stage2_1,train,1,0,2,0,-1.0,0.33329,0.32763,0.33908,1.09851,0.0,0.0,0.57806,0.23809523809523808,0.24074074074074073,0.25,0.25,0.23809523809523808,0.23809523809523808,5,21,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,0,2,0.0,,,192,0.000556
22,1789302839.4080694,dots_0_2_stage2_1,train,1,1,2,0,-1.0,0.29642,0.32833,0.37525,1.09392,2.12608,1.44,2.596,0.22727272727272727,0.2328042328042328,0.23076923076923078,0.25,0.22727272727272727,0.22727272727272727,5,22,0.2222222222222222,0.14285714285714285,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,0,2,0.0,,,192,0.007809
23,1789302839.4087057,dots_0_2_stage2_1,train,1,2,0,0,-1.0,0.31547,0.3401,0.34443,1.09787,1.86894,1.44,2.45204,0.21739130434782608,0.2169312169312169,0.21428571428571427,0.25,0.21739130434782608,0.21739130434782608,5,23,0.2222222222222222,0.14285714285714285,0.2857142857142857,0.0,0.0,,0.0,0.0,0.0,0,2,0.0,,,192,0.008522
