trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,stimulus_profile,signal_energy,area_factor,requested_area_factor,post_noise_energy,min_pair_distance,gain_ratio,overall,balanced_accuracy,one_vs_two_accuracy,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_balanced_accuracy,probe_one_vs_two_accuracy,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
1,1789304121.5155885,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.00329,0.99238,0.00433,0.04995,ood,2.02805,0.91542,0.91542,2.5421,2.82843,1.9251,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,,0.0,0,0.0
2,1789304121.5173304,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94271,0.03046,0.02682,0.25902,ood,0.0,0.0,0.0,0.70162,,,0.5,0.5,0.0,0.5,0.5,0.5,1,2,1.0,,0.0,0.5,0.5,0.0,0.5,0.5,0.5,1,2,1.0,,0.0,0,0.0
3,1789304121.5182586,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.03968,0.93914,0.02118,0.26865,ood,2.14505,2.04737,2.04737,2.69872,2.0,2.16618,0.3333333333333333,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,3,1.0,,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,3,1.0,,0.0,0,0.0
4,1789304121.519063,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94379,0.02755,0.02866,0.25537,ood,0.0,0.0,0.0,0.64238,,,0.5,0.5,0.0,0.5,0.5,0.5,2,4,1.0,,0.0,0.5,0.5,0.0,0.5,0.5,0.5,2,4,1.0,,0.0,0,0.0
5,1789304121.5197816,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94149,0.02923,0.02928,0.26342,ood,0.0,0.0,0.0,0.64313,,,0.6,0.5,0.0,0.6,0.6,0.6,3,5,1.0,,0.0,0.6,0.5,0.0,0.6,0.6,0.6,3,5,1.0,,0.0,0,0.0
6,1789304121.520377,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94233,0.02637,0.0313,0.26028,ood,0.0,0.0,0.0,0.57877,,,0.6666666666666666,0.5,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,6,1.0,,0.0,0.6666666666666666,0.5,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,6,1.0,,0.0,0,0.0
7,1789304121.5211015,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.04394,0.91183,0.04423,0.3594,ood,1.90634,0.95908,0.95908,2.42435,2.23607,2.20953,0.5714285714285714,0.5,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,7,1.0,,0.0,0.5714285714285714,0.5,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,7,1.0,,0.0,0,0.0
8,1789304121.522009,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00999,0.97878,0.01123,0.11744,ood,2.05536,1.94376,1.94376,2.39566,,,0.625,0.6666666666666666,0.25,0.625,0.625,0.625,5,8,1.0,1.0,0.0,0.625,0.6666666666666666,0.25,0.625,0.625,0.625,5,8,1.0,1.0,0.0,0,0.0
9,1789304121.5232997,dots_0_2_stage2_2_ood,ood_eval,0,2,2,1,1.0,0.07386,0.78804,0.1381,0.65358,ood,2.08766,1.91579,1.91579,2.45335,2.0,2.13818,0.6666666666666666,0.75,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,9,1.0,1.0,0.25,0.6666666666666666,0.75,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,9,1.0,1.0,0.25,0,0.0
10,1789304121.5240932,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94125,0.02986,0.02889,0.26424,ood,0.0,0.0,0.0,0.60631,,,0.7,0.75,0.4,0.7,0.7,0.7,7,10,1.0,1.0,0.25,0.7,0.75,0.4,0.7,0.7,0.7,7,10,1.0,1.0,0.25,0,0.0
